state_code,county_code,year,parameter_code,first_max_value,arithmetic_mean,observation_count,primary_exceedance_count,ninetieth_percentile,County_ID,Pollutant,Pct_Unhealthy,Max_Last_Year,Rolling_Avg_3Y,Target_Next_Year
06,001,2023,42101,1.1,0.399824,5686,0.0,0.7,06_001,CO,0.0,3.7,1.9666666666666668,
06,001,2018,42602,72.9,18.908791,8354,0.0,31.2,06_001,NO2,0.0,,,75.6
06,001,2018,42602,75.6,22.647368,8317,0.0,36.2,06_001,NO2,0.0,72.9,,72.9
06,001,2018,42602,72.9,27.520994,8277,0.0,41.1,06_001,NO2,0.0,75.6,73.8,64.0
06,001,2018,42602,64.0,23.933818,6306,0.0,36.5,06_001,NO2,0.0,72.9,70.83333333333333,56.4
06,001,2018,42602,56.4,18.087328,8343,0.0,31.4,06_001,NO2,0.0,64.0,64.43333333333334,72.6
06,001,2018,42602,72.6,25.868994,8253,0.0,36.9,06_001,NO2,0.0,56.4,64.33333333333333,72.9
06,001,2018,42602,72.9,9.986318,8354,0.0,20.5,06_001,NO2,0.0,72.6,67.3,75.6
06,001,2018,42602,75.6,12.317494,8317,0.0,25.6,06_001,NO2,0.0,72.9,73.7,72.9
06,001,2018,42602,72.9,16.62786,8277,0.0,29.4,06_001,NO2,0.0,75.6,73.8,64.0
06,001,2018,42602,64.0,14.471472,6306,0.0,25.2,06_001,NO2,0.0,72.9,70.83333333333333,56.4
06,001,2018,42602,56.4,8.866343,8343,0.0,21.2,06_001,NO2,0.0,64.0,64.43333333333334,72.6
06,001,2018,42602,72.6,15.260972,8253,0.0,27.3,06_001,NO2,0.0,56.4,64.33333333333333,59.2
06,001,2020,42602,59.2,18.026593,8291,0.0,31.4,06_001,NO2,0.0,72.6,62.73333333333333,48.0
06,001,2020,42602,48.0,21.653672,8186,0.0,33.8,06_001,NO2,0.0,59.2,59.93333333333334,57.5
06,001,2020,42602,57.5,23.990934,8365,0.0,37.7,06_001,NO2,0.0,48.0,54.9,62.6
06,001,2020,42602,62.6,22.572131,8376,0.0,33.6,06_001,NO2,0.0,57.5,56.03333333333333,45.9
06,001,2020,42602,45.9,16.914795,8377,0.0,29.4,06_001,NO2,0.0,62.6,55.333333333333336,46.9
06,001,2020,42602,46.9,22.733241,8295,0.0,33.5,06_001,NO2,0.0,45.9,51.800000000000004,59.2
06,001,2020,42602,59.2,9.363551,8291,0.0,19.8,06_001,NO2,0.0,46.9,50.666666666666664,48.0
06,001,2020,42602,48.0,11.55215,8186,0.0,24.8,06_001,NO2,0.0,59.2,51.36666666666667,57.5
06,001,2020,42602,57.5,13.645308,8365,0.0,26.8,06_001,NO2,0.0,48.0,54.9,62.6
06,001,2020,42602,62.6,13.096311,8376,0.0,23.8,06_001,NO2,0.0,57.5,56.03333333333334,45.9
06,001,2020,42602,45.9,7.675743,8377,0.0,20.4,06_001,NO2,0.0,62.6,55.333333333333336,46.9
06,001,2020,42602,46.9,13.166052,8295,0.0,25.1,06_001,NO2,0.0,45.9,51.800000000000004,48.7
06,001,2021,42602,48.7,16.221389,8308,0.0,28.0,06_001,NO2,0.0,46.9,47.166666666666664,49.5
06,001,2021,42602,49.5,18.709497,8284,0.0,31.7,06_001,NO2,0.0,48.7,48.36666666666667,50.7
06,001,2021,42602,50.7,21.29454,8002,0.0,32.3,06_001,NO2,0.0,49.5,49.63333333333333,42.4
06,001,2021,42602,42.4,20.427424,8286,0.0,30.0,06_001,NO2,0.0,50.7,47.53333333333333,36.5
06,001,2021,42602,36.5,14.810193,8347,0.0,26.5,06_001,NO2,0.0,42.4,43.199999999999996,40.9
06,001,2021,42602,40.9,18.864751,6048,0.0,28.5,06_001,NO2,0.0,36.5,39.93333333333333,48.7
06,001,2021,42602,48.7,8.316406,8308,0.0,16.9,06_001,NO2,0.0,40.9,42.03333333333334,49.5
06,001,2021,42602,49.5,9.82028,8284,0.0,20.9,06_001,NO2,0.0,48.7,46.36666666666667,50.7
06,001,2021,42602,50.7,12.286628,8002,0.0,22.9,06_001,NO2,0.0,49.5,49.63333333333333,42.4
06,001,2021,42602,42.4,11.673147,8286,0.0,21.0,06_001,NO2,0.0,50.7,47.53333333333333,36.5
06,001,2021,42602,36.5,6.391099,8347,0.0,17.2,06_001,NO2,0.0,42.4,43.199999999999996,40.9
06,001,2021,42602,40.9,10.222206,6048,0.0,20.1,06_001,NO2,0.0,36.5,39.93333333333333,50.8
06,001,2022,42602,50.8,17.104396,8343,0.0,30.4,06_001,NO2,0.0,40.9,42.73333333333333,43.5
06,001,2022,42602,43.5,20.150138,8302,0.0,33.3,06_001,NO2,0.0,50.8,45.06666666666666,51.1
06,001,2022,42602,51.1,22.631025,8333,0.0,35.4,06_001,NO2,0.0,43.5,48.46666666666667,42.3
06,001,2022,42602,42.3,20.285205,8350,0.0,30.1,06_001,NO2,0.0,51.1,45.63333333333333,42.1
06,001,2022,42602,42.1,17.277681,7985,0.0,29.2,06_001,NO2,0.0,42.3,45.166666666666664,50.8
06,001,2022,42602,50.8,8.926705,8343,0.0,18.9,06_001,NO2,0.0,42.1,45.06666666666666,43.5
06,001,2022,42602,43.5,11.073223,8302,0.0,24.0,06_001,NO2,0.0,50.8,45.46666666666666,51.1
06,001,2022,42602,51.1,13.439866,8333,0.0,25.9,06_001,NO2,0.0,43.5,48.46666666666667,42.3
06,001,2022,42602,42.3,11.694371,8350,0.0,21.7,06_001,NO2,0.0,51.1,45.63333333333333,42.1
06,001,2022,42602,42.1,8.293375,7985,0.0,21.0,06_001,NO2,0.0,42.3,45.166666666666664,50.7
06,001,2023,42602,50.7,14.62933,8249,0.0,27.5,06_001,NO2,0.0,42.1,45.03333333333334,48.2
06,001,2023,42602,48.2,16.949292,8178,0.0,31.3,06_001,NO2,0.0,50.7,47.0,42.3
06,001,2023,42602,42.3,19.079605,7497,0.0,30.3,06_001,NO2,0.0,48.2,47.06666666666666,119.1
06,001,2023,42602,119.1,21.625287,8062,9.0,30.1,06_001,NO2,0.001116348300669809,42.3,69.86666666666666,35.2
06,001,2023,42602,35.2,13.561834,7898,0.0,25.6,06_001,NO2,0.0,119.1,65.53333333333332,33.8
06,001,2023,42602,33.8,13.588166,7721,0.0,25.2,06_001,NO2,0.0,35.2,62.699999999999996,46.2
06,001,2023,42602,46.2,20.675573,6200,0.0,31.2,06_001,NO2,0.0,33.8,38.4,50.7
06,001,2023,42602,50.7,7.295115,8249,0.0,15.9,06_001,NO2,0.0,46.2,43.56666666666666,48.2
06,001,2023,42602,48.2,8.053876,8178,0.0,20.3,06_001,NO2,0.0,50.7,48.366666666666674,42.6
06,001,2023,42602,42.6,11.007256,7497,0.0,21.5,06_001,NO2,0.0,48.2,47.166666666666664,119.1
06,001,2023,42602,119.1,10.344009,8062,0.0,19.9,06_001,NO2,0.0,42.6,69.96666666666665,35.2
06,001,2023,42602,35.2,6.16984,7898,0.0,16.5,06_001,NO2,0.0,119.1,65.63333333333334,33.8
06,001,2023,42602,33.8,6.625618,7721,0.0,15.7,06_001,NO2,0.0,35.2,62.69999999999999,46.2
06,001,2023,42602,46.2,11.609468,6200,0.0,23.0,06_001,NO2,0.0,33.8,38.4,
06,001,2018,44201,0.075,0.040635,8373,0.0,0.051,06_001,Ozone,0.0,,,0.061
06,001,2018,44201,0.061,0.033141,8354,0.0,0.043,06_001,Ozone,0.0,0.075,,0.063
06,001,2018,44201,0.063,0.032514,8180,0.0,0.042,06_001,Ozone,0.0,0.061,0.06633333333333334,0.099
06,001,2018,44201,0.099,0.045831,8359,0.0,0.064,06_001,Ozone,0.0,0.063,0.07433333333333333,0.059
06,001,2018,44201,0.059,0.028143,7959,0.0,0.038,06_001,Ozone,0.0,0.099,0.07366666666666667,0.066
06,001,2018,44201,0.066,0.036133,8725,0.0,0.045,06_001,Ozone,0.0,0.059,0.07466666666666667,0.052
06,001,2018,44201,0.052,0.028364,8690,0.0,0.039,06_001,Ozone,0.0,0.066,0.059,0.05
06,001,2018,44201,0.05,0.027724,8489,0.0,0.039,06_001,Ozone,0.0,0.052,0.056,0.078
06,001,2018,44201,0.078,0.039075,8695,0.0,0.051,06_001,Ozone,0.0,0.05,0.06,0.049
06,001,2018,44201,0.049,0.023317,8166,0.0,0.034,06_001,Ozone,0.0,0.078,0.059,0.066
06,001,2018,44201,0.066,0.036133,8725,0.0,0.045,06_001,Ozone,0.0,0.049,0.06433333333333334,0.052
06,001,2018,44201,0.052,0.028364,8690,0.0,0.039,06_001,Ozone,0.0,0.066,0.05566666666666667,0.05
06,001,2018,44201,0.05,0.027724,8489,0.0,0.039,06_001,Ozone,0.0,0.052,0.056,0.078
06,001,2018,44201,0.078,0.039075,8695,2.0,0.051,06_001,Ozone,0.00023001725129384704,0.05,0.06,0.049
06,001,2018,44201,0.049,0.023317,8166,0.0,0.034,06_001,Ozone,0.0,0.078,0.059,0.066
06,001,2018,44201,0.066,0.035678,6188,0.0,0.045,06_001,Ozone,0.0,0.049,0.06433333333333334,0.052
06,001,2018,44201,0.052,0.028254,6171,0.0,0.039,06_001,Ozone,0.0,0.066,0.05566666666666667,0.05
06,001,2018,44201,0.05,0.027543,6029,0.0,0.038,06_001,Ozone,0.0,0.052,0.056,0.078
06,001,2018,44201,0.078,0.039089,6169,3.0,0.051,06_001,Ozone,0.0004863024801426487,0.05,0.06,0.049
06,001,2018,44201,0.049,0.02318,5706,0.0,0.034,06_001,Ozone,0.0,0.078,0.059,0.116
06,001,2020,44201,0.116,0.0421,8321,0.0,0.057,06_001,Ozone,0.0,0.049,0.081,0.09
06,001,2020,44201,0.09,0.034124,8335,0.0,0.045,06_001,Ozone,0.0,0.116,0.085,0.084
06,001,2020,44201,0.084,0.034072,8348,0.0,0.044,06_001,Ozone,0.0,0.09,0.09666666666666668,0.095
06,001,2020,44201,0.095,0.04595,8378,0.0,0.066,06_001,Ozone,0.0,0.084,0.08966666666666667,0.058
06,001,2020,44201,0.058,0.029323,8306,0.0,0.039,06_001,Ozone,0.0,0.095,0.079,0.092
06,001,2020,44201,0.092,0.036906,8679,1.0,0.048,06_001,Ozone,0.00011522064754003918,0.058,0.08166666666666668,0.066
06,001,2020,44201,0.066,0.0286,8638,0.0,0.038,06_001,Ozone,0.0,0.092,0.07200000000000001,0.056
06,001,2020,44201,0.056,0.028986,8688,0.0,0.039,06_001,Ozone,0.0,0.066,0.07133333333333333,0.077
06,001,2020,44201,0.077,0.039097,8722,0.0,0.053,06_001,Ozone,0.0,0.056,0.06633333333333334,0.043
06,001,2020,44201,0.043,0.024963,8622,0.0,0.034,06_001,Ozone,0.0,0.077,0.058666666666666666,0.092
06,001,2020,44201,0.092,0.036906,8679,3.0,0.048,06_001,Ozone,0.0003456619426201175,0.043,0.07066666666666667,0.066
06,001,2020,44201,0.066,0.0286,8638,0.0,0.038,06_001,Ozone,0.0,0.092,0.067,0.056
06,001,2020,44201,0.056,0.028986,8688,0.0,0.039,06_001,Ozone,0.0,0.066,0.07133333333333335,0.077
06,001,2020,44201,0.077,0.039097,8722,1.0,0.053,06_001,Ozone,0.00011465260261407934,0.056,0.06633333333333334,0.043
06,001,2020,44201,0.043,0.024963,8622,0.0,0.034,06_001,Ozone,0.0,0.077,0.058666666666666666,0.092
06,001,2020,44201,0.092,0.03667,6154,4.0,0.048,06_001,Ozone,0.0006499837504062399,0.043,0.07066666666666667,0.066
06,001,2020,44201,0.066,0.028438,6169,0.0,0.038,06_001,Ozone,0.0,0.092,0.06699999999999999,0.056
06,001,2020,44201,0.056,0.028856,6172,0.0,0.039,06_001,Ozone,0.0,0.066,0.07133333333333332,0.077
06,001,2020,44201,0.077,0.039063,6190,2.0,0.053,06_001,Ozone,0.00032310177705977385,0.056,0.06633333333333334,0.043
06,001,2020,44201,0.043,0.024752,6123,0.0,0.034,06_001,Ozone,0.0,0.077,0.058666666666666666,0.097
06,001,2021,44201,0.097,0.040499,8380,0.0,0.051,06_001,Ozone,0.0,0.043,0.07233333333333333,0.083
06,001,2021,44201,0.083,0.034389,8302,0.0,0.044,06_001,Ozone,0.0,0.097,0.07433333333333332,0.067
06,001,2021,44201,0.067,0.031183,8286,0.0,0.039,06_001,Ozone,0.0,0.083,0.08233333333333333,0.113
06,001,2021,44201,0.113,0.045387,8343,0.0,0.066,06_001,Ozone,0.0,0.067,0.08766666666666667,0.049
06,001,2021,44201,0.049,0.030436,6122,0.0,0.04,06_001,Ozone,0.0,0.113,0.07633333333333332,0.082
06,001,2021,44201,0.082,0.036197,8746,0.0,0.045,06_001,Ozone,0.0,0.049,0.08133333333333333,0.061
06,001,2021,44201,0.061,0.029826,8624,0.0,0.04,06_001,Ozone,0.0,0.082,0.064,0.046
06,001,2021,44201,0.046,0.027552,8616,0.0,0.036,06_001,Ozone,0.0,0.061,0.063,0.086
06,001,2021,44201,0.086,0.039412,8676,1.0,0.055,06_001,Ozone,0.0001152604887044721,0.046,0.06433333333333333,0.043
06,001,2021,44201,0.043,0.02672,6371,0.0,0.036,06_001,Ozone,0.0,0.086,0.05833333333333333,0.082
06,001,2021,44201,0.082,0.036197,8746,1.0,0.045,06_001,Ozone,0.0001143379830779785,0.043,0.07033333333333333,0.061
06,001,2021,44201,0.061,0.029826,8624,0.0,0.04,06_001,Ozone,0.0,0.082,0.062,0.046
06,001,2021,44201,0.046,0.027552,8616,0.0,0.036,06_001,Ozone,0.0,0.061,0.063,0.086
06,001,2021,44201,0.086,0.039412,8676,2.0,0.055,06_001,Ozone,0.0002305209774089442,0.046,0.06433333333333333,0.043
06,001,2021,44201,0.043,0.02672,6371,0.0,0.036,06_001,Ozone,0.0,0.086,0.05833333333333333,0.082
06,001,2021,44201,0.082,0.035813,6196,3.0,0.045,06_001,Ozone,0.0004841833440929632,0.043,0.07033333333333333,0.061
06,001,2021,44201,0.061,0.029677,6123,0.0,0.04,06_001,Ozone,0.0,0.082,0.062,0.046
06,001,2021,44201,0.046,0.027346,6122,0.0,0.036,06_001,Ozone,0.0,0.061,0.063,0.086
06,001,2021,44201,0.086,0.039396,6155,9.0,0.055,06_001,Ozone,0.001462225832656377,0.046,0.06433333333333333,0.042
06,001,2021,44201,0.042,0.026504,4524,0.0,0.036,06_001,Ozone,0.0,0.086,0.057999999999999996,0.098
06,001,2022,44201,0.098,0.039841,8376,0.0,0.05,06_001,Ozone,0.0,0.042,0.07533333333333334,0.069
06,001,2022,44201,0.069,0.031975,8343,0.0,0.042,06_001,Ozone,0.0,0.098,0.06966666666666667,0.054
06,001,2022,44201,0.054,0.028767,8303,0.0,0.037,06_001,Ozone,0.0,0.069,0.07366666666666667,0.101
06,001,2022,44201,0.101,0.044447,7985,0.0,0.063,06_001,Ozone,0.0,0.054,0.07466666666666667,0.073
06,001,2022,44201,0.073,0.03543,8731,0.0,0.045,06_001,Ozone,0.0,0.101,0.076,0.055
06,001,2022,44201,0.055,0.027392,8679,0.0,0.038,06_001,Ozone,0.0,0.073,0.07633333333333334,0.041
06,001,2022,44201,0.041,0.024645,8661,0.0,0.033,06_001,Ozone,0.0,0.055,0.056333333333333326,0.077
06,001,2022,44201,0.077,0.038053,8270,0.0,0.051,06_001,Ozone,0.0,0.041,0.057666666666666665,0.073
06,001,2022,44201,0.073,0.03543,8731,0.0,0.045,06_001,Ozone,0.0,0.077,0.06366666666666666,0.055
06,001,2022,44201,0.055,0.027392,8679,0.0,0.038,06_001,Ozone,0.0,0.073,0.06833333333333333,0.041
06,001,2022,44201,0.041,0.024645,8661,0.0,0.033,06_001,Ozone,0.0,0.055,0.05633333333333334,0.077
06,001,2022,44201,0.077,0.038053,8270,1.0,0.051,06_001,Ozone,0.00012091898428053205,0.041,0.057666666666666665,0.073
06,001,2022,44201,0.073,0.034994,6182,2.0,0.044,06_001,Ozone,0.00032351989647363315,0.077,0.06366666666666666,0.055
06,001,2022,44201,0.055,0.027309,6166,0.0,0.038,06_001,Ozone,0.0,0.073,0.06833333333333333,0.041
06,001,2022,44201,0.041,0.024536,6168,0.0,0.033,06_001,Ozone,0.0,0.055,0.05633333333333334,0.077
06,001,2022,44201,0.077,0.037974,5884,2.0,0.051,06_001,Ozone,0.0003399048266485384,0.041,0.057666666666666665,0.085
06,001,2023,44201,0.085,0.038828,6383,0.0,0.047,06_001,Ozone,0.0,0.077,0.06766666666666667,0.069
06,001,2023,44201,0.069,0.0341,8292,0.0,0.042,06_001,Ozone,0.0,0.085,0.077,0.054
06,001,2023,44201,0.054,0.032622,8077,0.0,0.043,06_001,Ozone,0.0,0.069,0.06933333333333334,0.088
06,001,2023,44201,0.088,0.044738,7772,0.0,0.059,06_001,Ozone,0.0,0.054,0.07033333333333333,0.088
06,001,2023,44201,0.088,0.044527,7538,0.0,0.059,06_001,Ozone,0.0,0.088,0.07666666666666666,0.054
06,001,2023,44201,0.054,0.029741,5104,0.0,0.038,06_001,Ozone,0.0,0.088,0.07666666666666666,0.06
06,001,2023,44201,0.06,0.035324,6539,0.0,0.043,06_001,Ozone,0.0,0.054,0.06733333333333333,0.051
06,001,2023,44201,0.051,0.030006,8590,0.0,0.038,06_001,Ozone,0.0,0.06,0.05499999999999999,0.045
06,001,2023,44201,0.045,0.028921,8386,0.0,0.039,06_001,Ozone,0.0,0.051,0.052,0.075
06,001,2023,44201,0.075,0.038991,8032,0.0,0.053,06_001,Ozone,0.0,0.045,0.056999999999999995,0.075
06,001,2023,44201,0.075,0.039298,8015,0.0,0.052,06_001,Ozone,0.0,0.075,0.065,0.044
06,001,2023,44201,0.044,0.025297,5174,0.0,0.034,06_001,Ozone,0.0,0.075,0.06466666666666666,0.06
06,001,2023,44201,0.06,0.035324,6539,0.0,0.043,06_001,Ozone,0.0,0.044,0.059666666666666666,0.051
06,001,2023,44201,0.051,0.030006,8590,0.0,0.038,06_001,Ozone,0.0,0.06,0.051666666666666666,0.045
06,001,2023,44201,0.045,0.028921,8386,0.0,0.039,06_001,Ozone,0.0,0.051,0.052,0.075
06,001,2023,44201,0.075,0.038991,8032,0.0,0.053,06_001,Ozone,0.0,0.045,0.056999999999999995,0.075
06,001,2023,44201,0.075,0.039298,8015,0.0,0.052,06_001,Ozone,0.0,0.075,0.065,0.044
06,001,2023,44201,0.044,0.025297,5174,0.0,0.034,06_001,Ozone,0.0,0.075,0.06466666666666666,0.06
06,001,2023,44201,0.06,0.034901,4635,0.0,0.043,06_001,Ozone,0.0,0.044,0.059666666666666666,0.051
06,001,2023,44201,0.051,0.029916,6136,0.0,0.039,06_001,Ozone,0.0,0.06,0.051666666666666666,0.045
06,001,2023,44201,0.045,0.028833,5966,0.0,0.039,06_001,Ozone,0.0,0.051,0.052,0.075
06,001,2023,44201,0.075,0.03897,5718,1.0,0.052,06_001,Ozone,0.00017488632388947185,0.045,0.056999999999999995,0.075
06,001,2023,44201,0.075,0.039239,5707,2.0,0.052,06_001,Ozone,0.0003504468196951113,0.075,0.065,0.044
06,001,2023,44201,0.044,0.025203,3638,0.0,0.033,06_001,Ozone,0.0,0.075,0.06466666666666666,
06,001,2018,88101,172.1,11.726593,361,13.0,16.7,06_001,PM2.5,0.036011080332409975,,,169.2
06,001,2018,88101,169.2,14.361408,355,14.0,21.0,06_001,PM2.5,0.03943661971830986,172.1,,168.2
06,001,2018,88101,168.2,14.386981,361,14.0,19.2,06_001,PM2.5,0.038781163434903045,169.2,169.83333333333334,164.7
06,001,2018,88101,164.7,14.320149,268,13.0,19.6,06_001,PM2.5,0.048507462686567165,168.2,167.36666666666665,172.6
06,001,2018,88101,172.6,11.243056,360,14.0,15.8,06_001,PM2.5,0.03888888888888889,164.7,168.5,165.5
06,001,2018,88101,165.5,11.790883,351,13.0,17.0,06_001,PM2.5,0.037037037037037035,172.6,167.6,172.1
06,001,2018,88101,172.1,11.726593,361,0.0,16.7,06_001,PM2.5,0.0,165.5,170.0666666666667,169.2
06,001,2018,88101,169.2,14.361408,355,0.0,21.0,06_001,PM2.5,0.0,172.1,168.9333333333333,168.2
06,001,2018,88101,168.2,14.386981,361,0.0,19.2,06_001,PM2.5,0.0,169.2,169.83333333333334,164.7
06,001,2018,88101,164.7,14.320149,268,0.0,19.6,06_001,PM2.5,0.0,168.2,167.36666666666665,172.6
06,001,2018,88101,172.6,11.243056,360,0.0,15.8,06_001,PM2.5,0.0,164.7,168.5,165.5
06,001,2018,88101,165.5,11.790883,351,0.0,17.0,06_001,PM2.5,0.0,172.6,167.6,217.0
06,001,2018,88101,217.0,11.795035,8621,0.0,18.0,06_001,PM2.5,0.0,165.5,185.03333333333333,210.0
06,001,2018,88101,210.0,14.401103,8519,0.0,23.0,06_001,PM2.5,0.0,217.0,197.5,218.0
06,001,2018,88101,218.0,14.449107,8626,0.0,22.0,06_001,PM2.5,0.0,210.0,215.0,259.0
06,001,2018,88101,259.0,14.360768,6403,0.0,22.0,06_001,PM2.5,0.0,218.0,229.0,287.0
06,001,2018,88101,287.0,11.307917,8577,0.0,19.0,06_001,PM2.5,0.0,259.0,254.66666666666666,393.0
06,001,2018,88101,393.0,11.809186,8448,0.0,19.0,06_001,PM2.5,0.0,287.0,313.0,172.1
06,001,2018,88101,172.1,11.726593,361,13.0,16.7,06_001,PM2.5,0.036011080332409975,393.0,284.03333333333336,169.2
06,001,2018,88101,169.2,14.361408,355,14.0,21.0,06_001,PM2.5,0.03943661971830986,172.1,244.76666666666665,168.2
06,001,2018,88101,168.2,14.386981,361,14.0,19.2,06_001,PM2.5,0.038781163434903045,169.2,169.83333333333334,164.7
06,001,2018,88101,164.7,14.320149,268,13.0,19.6,06_001,PM2.5,0.048507462686567165,168.2,167.36666666666665,172.6
06,001,2018,88101,172.6,11.243056,360,14.0,15.8,06_001,PM2.5,0.03888888888888889,164.7,168.5,165.5
06,001,2018,88101,165.5,11.790883,351,13.0,17.0,06_001,PM2.5,0.037037037037037035,172.6,167.6,172.1
06,001,2018,88101,172.1,11.726593,361,0.0,16.7,06_001,PM2.5,0.0,165.5,170.0666666666667,169.2
06,001,2018,88101,169.2,14.361408,355,0.0,21.0,06_001,PM2.5,0.0,172.1,168.9333333333333,168.2
06,001,2018,88101,168.2,14.386981,361,0.0,19.2,06_001,PM2.5,0.0,169.2,169.83333333333334,164.7
06,001,2018,88101,164.7,14.320149,268,0.0,19.6,06_001,PM2.5,0.0,168.2,167.36666666666665,172.6
