"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2002,278,184,90,4,0,0,0,105,71,43,0,0,187,91,0
"Alabama","Clay",2002,277,144,113,17,3,0,0,166,93,49,0,0,181,96,0
"Alabama","Colbert",2002,294,185,94,12,3,0,0,166,84,44,0,24,188,82,0
"Alabama","DeKalb",2002,360,212,121,24,3,0,0,164,93,45,0,0,277,83,0
"Alabama","Elmore",2002,241,176,54,9,2,0,0,164,90,42,0,0,241,0,0
"Alabama","Escambia",2002,119,40,79,0,0,0,0,90,69,55,0,0,0,116,3
"Alabama","Etowah",2002,242,103,118,21,0,0,0,147,97,54,0,0,149,90,3
"Alabama","Houston",2002,111,30,81,0,0,0,0,85,73,56,0,0,0,104,7
"Alabama","Jefferson",2002,365,14,291,49,10,1,0,207,115,71,11,0,62,262,30
"Alabama","Lawrence",2002,273,165,95,13,0,0,0,150,84,44,0,0,187,86,0
"Alabama","Madison",2002,365,227,112,24,2,0,0,166,84,43,0,0,257,92,16
"Alabama","Marengo",2002,58,57,1,0,0,0,0,53,32,17,0,0,0,0,58
"Alabama","Mobile",2002,326,188,122,16,0,0,0,150,80,45,39,0,183,92,12
"Alabama","Montgomery",2002,316,176,129,9,2,0,0,154,80,47,0,0,174,106,36
"Alabama","Morgan",2002,271,129,111,27,4,0,0,174,105,52,0,0,172,98,1
"Alabama","Pike",2002,55,54,1,0,0,0,0,52,29,17,0,0,0,0,55
"Alabama","Russell",2002,105,25,79,1,0,0,0,117,79,60,0,0,0,98,7
"Alabama","Shelby",2002,282,133,117,24,7,1,0,205,105,52,0,0,195,87,0
"Alabama","Sumter",2002,285,191,86,7,1,0,0,179,71,41,0,0,185,100,0
"Alabama","Talladega",2002,117,25,91,1,0,0,0,141,74,58,0,0,0,112,5
"Alabama","Tuscaloosa",2002,252,193,45,12,2,0,0,166,74,40,0,0,240,12,0
"Alabama","Walker",2002,262,182,59,18,3,0,0,166,90,43,0,0,234,28,0
"Alaska","Aleutians East ",2002,119,117,2,0,0,0,0,55,36,15,0,0,0,119,0
"Alaska","Anchorage ",2002,303,240,63,0,0,0,0,76,56,33,115,0,0,98,90
"Alaska","Denali ",2002,347,338,7,2,0,0,0,113,44,33,0,0,331,16,0
"Alaska","Fairbanks North Star ",2002,238,165,68,4,1,0,0,171,71,34,127,0,0,111,0
"Alaska","Juneau ",2002,122,104,18,0,0,0,0,94,59,26,0,0,0,116,6
"Alaska","Kenai Peninsula ",2002,97,97,0,0,0,0,0,38,27,8,0,0,0,97,0
"Alaska","Matanuska-Susitna ",2002,126,108,16,2,0,0,0,112,58,23,0,0,0,123,3
"Arizona","Apache",2002,104,104,0,0,0,0,0,39,27,14,0,0,0,104,0
"Arizona","Cochise",2002,335,223,107,5,0,0,0,129,71,47,0,0,313,15,7
"Arizona","Coconino",2002,359,193,141,25,0,0,0,136,93,49,0,0,347,12,0
"Arizona","Gila",2002,226,76,131,14,5,0,0,164,100,61,0,1,143,74,8
"Arizona","Graham",2002,58,57,1,0,0,0,0,66,37,21,0,0,0,0,58
"Arizona","Maricopa",2002,365,28,248,75,13,1,0,202,122,80,3,93,202,38,29
"Arizona","Mohave",2002,60,45,15,0,0,0,0,99,62,27,0,0,0,35,25
"Arizona","Navajo",2002,171,164,7,0,0,0,0,64,47,33,0,0,84,79,8
"Arizona","Pima",2002,365,171,183,10,1,0,0,161,80,51,1,36,202,76,50
"Arizona","Pinal",2002,365,176,150,38,1,0,0,199,101,51,0,0,327,17,21
"Arizona","Santa Cruz",2002,61,18,42,1,0,0,0,117,76,54,0,0,0,48,13
"Arizona","Yavapai",2002,263,124,108,27,4,0,0,166,105,54,0,0,212,43,8
"Arizona","Yuma",2002,50,35,14,1,0,0,0,108,79,41,0,0,0,0,50
"Arkansas","Arkansas",2002,116,50,65,1,0,0,0,105,72,52,0,0,0,116,0
"Arkansas","Ashley",2002,117,48,68,1,0,0,0,118,71,53,0,0,0,117,0
"Arkansas","Clark",2002,364,307,42,12,3,0,0,161,64,36,0,0,364,0,0
"Arkansas","Craighead",2002,97,41,56,0,0,0,0,96,70,52,0,0,0,97,0
"Arkansas","Crittenden",2002,365,237,99,21,6,2,0,202,90,41,0,0,286,79,0
"Arkansas","Faulkner",2002,110,39,71,0,0,0,0,92,74,54,0,0,0,110,0
"Arkansas","Garland",2002,108,56,52,0,0,0,0,93,69,48,0,0,0,108,0
"Arkansas","Jefferson",2002,114,45,67,2,0,0,0,108,73,55,0,0,0,114,0
"Arkansas","Marion",2002,98,60,38,0,0,0,0,78,62,47,0,0,0,98,0
"Arkansas","Miller",2002,116,36,79,1,0,0,0,116,69,55,0,0,0,116,0
"Arkansas","Mississippi",2002,111,45,65,1,0,0,0,102,72,53,0,0,0,111,0
"Arkansas","Montgomery",2002,365,320,35,10,0,0,0,126,58,33,0,0,365,0,0
"Arkansas","Newton",2002,359,259,81,17,2,0,0,159,80,41,0,0,300,59,0
"Arkansas","Phillips",2002,118,51,67,0,0,0,0,98,73,53,0,0,0,118,0
"Arkansas","Polk",2002,118,56,62,0,0,0,0,98,73,52,0,0,0,118,0
"Arkansas","Pope",2002,120,43,77,0,0,0,0,92,70,54,0,0,0,120,0
"Arkansas","Pulaski",2002,365,87,247,21,10,0,0,164,100,58,2,22,81,260,0
"Arkansas","Sebastian",2002,112,43,69,0,0,0,0,87,69,56,0,0,0,112,0
"Arkansas","Union",2002,112,34,77,1,0,0,0,125,69,54,0,0,0,112,0
"Arkansas","Washington",2002,112,46,66,0,0,0,0,90,65,54,0,0,0,112,0
"Arkansas","White",2002,117,42,75,0,0,0,0,90,73,55,0,0,0,117,0
"California","Alameda",2002,365,256,87,15,6,1,0,201,82,42,6,103,180,76,0
"California","Amador",2002,360,237,87,31,5,0,0,166,105,42,12,0,348,0,0
"California","Butte",2002,365,91,187,71,16,0,0,190,133,67,0,0,200,163,2
"California","Calaveras",2002,365,200,108,45,11,1,0,203,126,48,3,0,341,21,0
"California","Colusa",2002,365,257,95,12,1,0,0,152,79,42,0,0,271,45,49
"California","Contra Costa",2002,365,207,124,23,11,0,0,177,96,47,0,25,204,136,0
"California","Del Norte",2002,120,115,5,0,0,0,0,57,41,20,0,0,0,93,27
"California","El Dorado",2002,365,165,99,61,31,9,0,234,154,55,0,12,340,12,1
"California","Fresno",2002,365,26,106,116,95,22,0,228,190,126,0,9,234,121,1
"California","Glenn",2002,365,253,105,7,0,0,0,122,77,43,0,0,321,0,44
"California","Humboldt",2002,211,183,26,2,0,0,0,123,52,9,0,0,0,57,154
"California","Imperial",2002,365,86,212,53,13,1,0,227,122,67,29,38,242,39,17
"California","Inyo",2002,365,159,126,39,10,5,26,8628,158,60,0,0,273,7,85
"California","Kern",2002,365,11,123,99,114,18,0,216,182,125,0,10,183,171,1
"California","Kings",2002,364,152,110,67,35,0,0,200,147,67,0,63,239,49,13
"California","Lake",2002,361,304,50,6,1,0,0,164,58,37,0,0,350,11,0
"California","Los Angeles",2002,365,22,164,104,53,22,0,241,179,99,4,48,152,158,3
"California","Madera",2002,362,210,89,48,14,1,0,205,119,46,0,51,311,0,0
"California","Marin",2002,365,332,33,0,0,0,0,85,48,30,0,183,121,58,3
"California","Mariposa",2002,364,130,131,79,24,0,0,179,140,61,0,0,292,67,5
"California","Mendocino",2002,365,328,33,3,1,0,0,154,51,32,1,54,268,38,4
"California","Merced",2002,363,137,96,74,53,3,0,221,161,72,0,35,278,48,2
"California","Modoc",2002,2,2,0,0,0,0,0,28,28,28,0,0,0,2,0
"California","Mono",2002,299,260,31,2,0,1,5,7060,56,23,1,0,108,41,149
"California","Monterey",2002,365,314,50,1,0,0,0,108,54,37,0,23,298,41,3
"California","Napa",2002,365,353,10,2,0,0,0,140,44,32,7,106,238,0,14
"California","Nevada",2002,365,167,110,62,23,3,0,208,140,54,0,0,329,33,3
"California","Orange",2002,365,56,264,42,3,0,0,169,105,67,0,33,69,263,0
"California","Placer",2002,365,193,91,56,21,4,0,210,136,49,0,107,232,25,1
"California","Plumas",2002,363,163,155,45,0,0,0,147,105,56,0,0,273,62,28
"California","Riverside",2002,365,32,149,87,74,23,0,226,185,101,0,13,183,165,4
"California","Sacramento",2002,365,80,182,64,34,5,0,216,153,75,0,13,211,138,3
"California","San Benito",2002,365,254,77,30,4,0,0,172,100,43,0,0,356,9,0
"California","San Bernardino",2002,365,44,155,72,59,33,2,409,200,90,0,93,208,55,9
"California","San Diego",2002,365,28,262,64,11,0,0,187,117,76,0,33,143,187,2
"California","San Francisco",2002,365,245,99,14,7,0,0,161,76,38,2,77,130,155,1
"California","San Joaquin",2002,365,202,125,34,4,0,0,177,101,48,0,97,156,86,26
"California","San Luis Obispo",2002,365,252,100,13,0,0,0,143,82,44,0,31,288,24,22
"California","San Mateo",2002,365,301,61,3,0,0,0,119,58,35,4,118,168,75,0
"California","Santa Barbara",2002,365,188,142,32,3,0,0,161,100,50,0,1,344,19,1
"California","Santa Clara",2002,365,169,165,23,8,0,0,185,96,52,0,15,179,171,0
"California","Santa Cruz",2002,365,316,48,1,0,0,0,122,54,36,0,2,325,34,4
"California","Shasta",2002,365,255,84,26,0,0,0,147,87,44,0,0,334,31,0
"California","Siskiyou",2002,352,299,52,1,0,0,0,115,61,33,0,0,329,11,12
"California","Solano",2002,365,274,72,17,2,0,0,163,77,39,7,54,239,65,0
"California","Sonoma",2002,365,305,55,5,0,0,0,138,59,37,2,56,251,56,0
"California","Stanislaus",2002,365,168,116,47,33,1,0,208,147,55,3,85,206,71,0
"California","Sutter",2002,365,216,110,27,12,0,0,195,101,45,3,82,249,25,6
"California","Tehama",2002,268,170,59,32,7,0,0,174,112,44,0,0,242,0,26
"California","Trinity",2002,112,109,3,0,0,0,0,62,36,13,0,0,0,75,37
"California","Tulare",2002,365,36,133,88,97,11,0,213,177,108,1,15,196,153,0
"California","Tuolumne",2002,365,195,74,76,20,0,0,190,133,47,4,0,361,0,0
"California","Ventura",2002,365,136,163,53,11,2,0,204,119,61,0,32,275,58,0
"California","Yolo",2002,365,253,89,17,6,0,0,164,84,42,0,51,262,47,5
"Canada","New Brunswick",2002,175,170,5,0,0,0,0,100,44,31,0,0,175,0,0
"Canada","Saskatchewan",2002,256,244,9,3,0,0,0,109,39,16,0,194,0,62,0
"Colorado","Adams",2002,365,190,173,2,0,0,0,112,71,50,0,86,118,71,90
"Colorado","Alamosa",2002,348,316,28,4,0,0,0,131,48,24,0,0,0,38,310
"Colorado","Arapahoe",2002,356,221,118,15,2,0,0,151,90,44,0,0,304,52,0
"Colorado","Archuleta",2002,355,341,14,0,0,0,0,98,40,21,0,0,0,50,305
"Colorado","Boulder",2002,365,256,97,11,1,0,0,151,79,41,31,0,263,70,1
"Colorado","Delta",2002,64,46,17,1,0,0,0,107,59,37,0,0,0,51,13
"Colorado","Denver",2002,365,103,250,12,0,0,0,143,81,55,0,150,84,111,20
"Colorado","Douglas",2002,214,104,85,23,2,0,0,172,101,51,0,0,214,0,0
"Colorado","El Paso",2002,365,223,135,7,0,0,0,112,77,45,34,0,260,66,5
"Colorado","Elbert",2002,118,109,9,0,0,0,0,60,47,23,0,0,0,118,0
"Colorado","Fremont",2002,57,57,0,0,0,0,0,39,28,16,0,0,0,0,57
