"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2001,283,174,95,12,2,0,0,159,84,46,0,0,203,80,0
"Alabama","Clay",2001,279,145,119,14,1,0,0,164,87,49,0,0,197,82,0
"Alabama","Colbert",2001,100,36,64,0,0,0,0,90,78,55,0,0,0,100,0
"Alabama","DeKalb",2001,365,198,136,28,3,0,0,164,97,47,0,0,292,73,0
"Alabama","Elmore",2001,241,165,63,12,1,0,0,154,80,43,0,0,241,0,0
"Alabama","Escambia",2001,115,44,71,0,0,0,0,85,71,55,0,0,0,110,5
"Alabama","Etowah",2001,110,35,75,0,0,0,0,99,86,58,0,0,0,94,16
"Alabama","Houston",2001,114,35,79,0,0,0,0,92,79,57,0,0,0,108,6
"Alabama","Jefferson",2001,365,13,251,71,22,8,0,265,144,80,64,0,43,256,2
"Alabama","Lawrence",2001,274,170,97,7,0,0,0,119,77,46,0,0,196,78,0
"Alabama","Madison",2001,364,212,136,16,0,0,0,136,87,45,0,0,266,84,14
"Alabama","Marengo",2001,60,60,0,0,0,0,0,49,36,19,0,0,0,0,60
"Alabama","Mobile",2001,287,158,113,15,1,0,0,159,84,48,0,0,180,98,9
"Alabama","Montgomery",2001,285,146,129,10,0,0,0,150,82,48,0,0,178,103,4
"Alabama","Morgan",2001,271,144,110,16,1,0,0,169,93,50,0,0,196,68,7
"Alabama","Pike",2001,60,59,1,0,0,0,0,53,31,19,0,0,0,0,60
"Alabama","Russell",2001,110,21,88,1,0,0,0,125,86,62,0,0,0,105,5
"Alabama","Shelby",2001,285,143,112,23,7,0,0,197,101,50,0,5,184,94,2
"Alabama","Sumter",2001,274,169,99,5,1,0,0,164,74,44,0,0,179,95,0
"Alabama","Talladega",2001,115,33,82,0,0,0,0,97,78,59,0,0,0,107,8
