"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2005,254,142,102,10,0,0,0,147,80,49,0,0,166,88,0
"Alabama","Barbour",2005,59,18,40,1,0,0,0,119,72,55,0,0,0,59,0
"Alabama","Clay",2005,282,156,116,10,0,0,0,136,84,49,0,0,184,98,0
"Alabama","Colbert",2005,278,149,119,10,0,0,0,126,80,49,0,0,180,98,0
"Alabama","DeKalb",2005,358,220,130,8,0,0,0,140,75,44,0,0,261,97,0
"Alabama","Elmore",2005,240,194,45,1,0,0,0,101,71,42,0,0,240,0,0
"Alabama","Escambia",2005,111,32,79,0,0,0,0,98,76,57,0,0,0,108,3
"Alabama","Etowah",2005,280,141,131,8,0,0,0,120,81,50,0,0,177,99,4
"Alabama","Houston",2005,265,158,105,2,0,0,0,124,71,47,0,0,166,99,0
"Alabama","Jackson",2005,31,31,0,0,0,0,0,39,35,28,0,7,24,0,0
"Alabama","Jefferson",2005,365,8,297,51,9,0,0,177,116,77,33,0,41,267,24
"Alabama","Lawrence",2005,283,160,117,6,0,0,0,126,80,47,0,0,191,92,0
"Alabama","Madison",2005,364,209,134,21,0,0,0,133,90,46,0,0,265,96,3
"Alabama","Marengo",2005,49,49,0,0,0,0,0,49,32,19,0,0,0,0,49
"Alabama","Mobile",2005,342,196,139,6,1,0,0,154,84,46,0,0,172,89,81
"Alabama","Montgomery",2005,285,151,132,2,0,0,0,133,77,49,0,0,174,111,0
"Alabama","Morgan",2005,283,133,131,19,0,0,0,136,93,51,0,0,186,97,0
"Alabama","Pike",2005,56,55,1,0,0,0,0,51,31,19,0,0,0,0,56
"Alabama","Russell",2005,285,135,141,8,1,0,0,156,86,52,0,0,173,112,0
"Alabama","Shelby",2005,281,123,127,28,3,0,0,179,101,54,0,0,187,94,0
"Alabama","Sumter",2005,272,187,83,2,0,0,0,117,67,44,0,0,175,97,0
"Alabama","Talladega",2005,281,180,99,2,0,0,0,110,71,44,0,0,168,112,1
"Alabama","Tuscaloosa",2005,274,141,123,9,1,0,0,164,83,50,0,0,172,102,0
"Alabama","Walker",2005,116,31,83,2,0,0,0,113,79,58,0,0,0,116,0
"Alaska","Aleutians East ",2005,121,120,1,0,0,0,0,51,22,11,0,0,0,121,0
"Alaska","Anchorage ",2005,302,257,44,0,1,0,0,151,56,25,112,0,0,98,92
"Alaska","Denali ",2005,365,361,4,0,0,0,0,93,40,32,0,0,356,9,0
"Alaska","Fairbanks North Star ",2005,225,181,41,2,1,0,0,154,73,27,134,0,0,91,0
"Alaska","Juneau ",2005,115,88,25,2,0,0,0,125,62,26,0,0,0,110,5
"Alaska","Kenai Peninsula ",2005,113,111,2,0,0,0,0,53,23,8,0,0,0,113,0
"Alaska","Matanuska-Susitna ",2005,122,93,27,2,0,0,0,124,65,27,0,0,0,108,14
"Alaska","Skagway-Hoonah-Angoon",2005,29,29,0,0,0,0,0,48,29,15,0,0,0,29,0
"Alaska","Wrangell Petersburg",2005,117,117,0,0,0,0,0,36,17,6,0,0,0,117,0
"Arizona","Apache",2005,336,334,2,0,0,0,0,63,41,24,0,0,0,35,301
"Arizona","Cochise",2005,355,219,132,4,0,0,0,108,77,47,0,0,307,42,6
"Arizona","Coconino",2005,358,238,110,9,1,0,0,159,80,47,0,0,344,14,0
"Arizona","Gila",2005,272,109,129,32,2,0,0,182,108,58,0,0,208,45,19
"Arizona","Graham",2005,53,53,0,0,0,0,0,46,31,20,0,0,0,0,53
"Arizona","La Paz",2005,130,68,56,6,0,0,0,119,90,50,0,1,129,0,0
"Arizona","Maricopa",2005,365,47,229,78,11,0,0,177,126,79,1,52,168,25,119
"Arizona","Mohave",2005,120,110,10,0,0,0,0,72,48,24,0,0,0,101,19
"Arizona","Navajo",2005,332,217,112,3,0,0,0,140,77,44,0,0,312,15,5
"Arizona","Pima",2005,365,180,167,16,2,0,0,154,84,51,0,7,265,53,40
"Arizona","Pinal",2005,365,179,147,37,2,0,0,177,101,51,0,0,312,12,41
"Arizona","Santa Cruz",2005,304,151,123,21,9,0,0,199,100,51,0,0,0,43,261
"Arizona","Yavapai",2005,158,103,43,12,0,0,0,119,90,24,0,0,58,85,15
"Arizona","Yuma",2005,316,188,113,15,0,0,0,140,80,46,0,10,176,0,130
"Arkansas","Arkansas",2005,116,36,77,3,0,0,0,128,82,58,0,0,0,116,0
"Arkansas","Ashley",2005,104,25,75,4,0,0,0,120,77,60,0,0,0,104,0
"Arkansas","Clark",2005,344,258,78,8,0,0,0,119,77,40,0,0,344,0,0
"Arkansas","Crittenden",2005,365,201,132,24,7,1,0,202,97,48,0,36,255,74,0
"Arkansas","Faulkner",2005,114,32,79,3,0,0,0,133,86,57,0,0,0,114,0
"Arkansas","Garland",2005,115,34,80,1,0,0,0,111,79,57,0,0,0,115,0
"Arkansas","Mississippi",2005,111,34,72,5,0,0,0,112,84,59,0,0,0,111,0
"Arkansas","Newton",2005,364,268,91,5,0,0,0,115,71,41,0,0,300,64,0
