"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2000,257,104,103,39,10,1,0,205,129,55,0,0,206,51,0
"Alabama","Clay",2000,271,142,114,14,1,0,0,177,90,49,0,0,184,87,0
"Alabama","Colbert",2000,106,18,86,2,0,0,0,124,82,63,0,0,0,106,0
"Alabama","DeKalb",2000,354,161,131,58,4,0,0,159,115,54,0,0,291,62,1
"Alabama","Elmore",2000,242,125,78,37,2,0,0,166,112,50,0,0,242,0,0
"Alabama","Escambia",2000,119,19,97,3,0,0,0,123,85,62,0,0,0,114,5
"Alabama","Etowah",2000,101,28,66,7,0,0,0,141,88,63,0,0,0,83,18
"Alabama","Houston",2000,102,28,73,1,0,0,0,120,82,60,0,0,0,94,8
"Alabama","Jefferson",2000,366,8,256,73,25,4,0,208,140,81,32,0,77,244,13
"Alabama","Lawrence",2000,272,122,120,29,1,0,0,172,101,54,0,0,202,70,0
"Alabama","Madison",2000,366,179,151,30,6,0,0,187,100,51,7,0,258,88,13
"Alabama","Marengo",2000,57,57,0,0,0,0,0,49,31,21,0,0,0,0,57
"Alabama","Mobile",2000,285,96,134,46,9,0,0,187,122,62,0,0,199,84,2
"Alabama","Montgomery",2000,281,99,134,43,5,0,0,195,115,58,0,0,188,92,1
"Alabama","Morgan",2000,222,69,105,41,7,0,0,187,121,66,0,0,153,55,14
"Alabama","Pike",2000,59,59,0,0,0,0,0,46,37,22,0,0,0,0,59
"Alabama","Russell",2000,118,25,86,7,0,0,0,144,93,65,0,0,0,107,11
"Alabama","Shelby",2000,284,110,121,38,13,2,0,214,122,61,0,19,181,81,3
"Alabama","Sumter",2000,273,153,100,20,0,0,0,147,93,47,0,0,178,95,0
"Alabama","Talladega",2000,113,17,91,5,0,0,0,136,92,63,0,0,0,104,9
"Alabama","Tuscaloosa",2000,107,21,82,4,0,0,0,126,86,61,0,0,0,105,2
"Alabama","Walker",2000,69,15,52,2,0,0,0,112,86,61,0,0,0,64,5
"Alaska","Anchorage ",2000,304,261,43,0,0,0,0,95,52,31,124,0,0,89,91
"Alaska","Denali ",2000,363,361,1,1,0,0,0,106,34,28,0,0,358,5,0
"Alaska","Fairbanks North Star ",2000,243,162,70,8,3,0,0,176,83,34,128,0,0,115,0
"Alaska","Juneau ",2000,126,94,31,1,0,0,0,107,64,24,0,0,0,124,2
"Alaska","Ketchikan Gateway ",2000,60,49,11,0,0,0,0,94,64,17,0,0,0,60,0
"Alaska","Matanuska-Susitna ",2000,122,99,22,1,0,0,0,115,63,22,0,0,0,112,10
"Arizona","Apache",2000,69,66,3,0,0,0,0,54,38,21,0,0,0,69,0
"Arizona","Cochise",2000,354,222,126,6,0,0,0,132,80,46,0,0,319,23,12
"Arizona","Coconino",2000,364,223,136,5,0,0,0,126,80,47,0,0,337,27,0
"Arizona","Gila",2000,151,101,50,0,0,0,0,86,71,42,0,0,0,133,18
"Arizona","Graham",2000,42,39,3,0,0,0,0,70,41,24,0,0,0,0,42
"Arizona","Maricopa",2000,366,17,182,148,19,0,0,174,136,97,1,105,191,48,21
"Arizona","Mohave",2000,62,54,8,0,0,0,0,65,51,31,0,0,0,3,59
"Arizona","Navajo",2000,120,120,0,0,0,0,0,49,29,15,0,0,0,85,35
"Arizona","Pima",2000,366,164,179,23,0,0,0,136,90,52,3,49,221,21,72
"Arizona","Pinal",2000,120,81,38,1,0,0,0,123,57,43,0,0,0,120,0
"Arizona","Santa Cruz",2000,60,21,37,2,0,0,0,106,84,55,0,0,0,55,5
"Arizona","Yavapai",2000,354,196,130,27,1,0,0,151,97,48,0,0,346,5,3
"Arizona","Yuma",2000,206,179,27,0,0,0,0,93,56,38,0,0,170,0,36
"Arkansas","Arkansas",2000,101,21,79,1,0,0,0,101,78,61,0,0,0,101,0
"Arkansas","Ashley",2000,90,8,81,1,0,0,0,108,84,61,0,0,0,90,0
"Arkansas","Clark",2000,347,265,57,25,0,0,0,147,90,39,0,0,347,0,0
"Arkansas","Craighead",2000,57,7,50,0,0,0,0,91,82,60,0,0,0,57,0
"Arkansas","Crittenden",2000,366,223,111,25,7,0,0,177,100,44,0,0,301,65,0
"Arkansas","Faulkner",2000,40,8,32,0,0,0,0,86,79,61,0,0,0,40,0
"Arkansas","Garland",2000,106,28,78,0,0,0,0,99,73,57,0,0,0,106,0
"Arkansas","Jefferson",2000,57,7,50,0,0,0,0,84,79,61,0,0,0,57,0
"Arkansas","Marion",2000,49,22,27,0,0,0,0,79,69,53,0,0,0,49,0
"Arkansas","Miller",2000,42,4,38,0,0,0,0,92,79,57,0,0,0,42,0
"Arkansas","Mississippi",2000,20,4,16,0,0,0,0,88,86,62,0,0,0,20,0
"Arkansas","Montgomery",2000,352,300,48,4,0,0,0,119,61,34,0,0,352,0,0
"Arkansas","Newton",2000,363,242,107,14,0,0,0,129,84,44,0,0,314,49,0
"Arkansas","Phillips",2000,112,26,86,0,0,0,0,99,78,59,0,0,0,112,0
"Arkansas","Polk",2000,125,36,89,0,0,0,0,87,72,57,0,0,0,125,0
"Arkansas","Pope",2000,114,25,88,1,0,0,0,105,76,61,0,0,0,114,0
"Arkansas","Pulaski",2000,366,51,274,27,14,0,0,200,105,66,1,1,100,264,0
"Arkansas","Sebastian",2000,115,23,92,0,0,0,0,92,73,58,0,0,0,115,0
"Arkansas","Union",2000,97,19,77,1,0,0,0,101,80,59,0,0,0,97,0
"Arkansas","Washington",2000,96,29,67,0,0,0,0,98,72,56,0,0,0,96,0
"Arkansas","White",2000,34,8,26,0,0,0,0,85,79,61,0,0,0,34,0
"California","Alameda",2000,366,272,80,11,2,1,0,209,71,41,2,117,172,75,0
"California","Amador",2000,366,238,83,34,11,0,0,192,112,44,15,0,351,0,0
"California","Butte",2000,361,216,98,40,7,0,0,181,108,45,16,40,254,32,19
"California","Calaveras",2000,364,244,72,34,14,0,0,200,115,39,29,0,303,31,1
"California","Colusa",2000,365,296,64,5,0,0,0,105,64,37,0,0,268,45,52
"California","Contra Costa",2000,366,212,131,22,1,0,0,172,90,47,0,22,189,154,1
"California","Del Norte",2000,134,131,3,0,0,0,0,59,38,18,0,0,0,90,44
"California","El Dorado",2000,366,182,109,44,29,2,0,208,136,51,0,22,327,17,0
"California","Fresno",2000,366,47,124,89,87,19,0,235,185,112,2,21,230,113,0
"California","Glenn",2000,366,284,76,6,0,0,0,126,67,40,0,0,328,0,38
"California","Humboldt",2000,77,55,22,0,0,0,0,79,64,36,0,0,0,57,20
"California","Imperial",2000,366,128,185,41,10,2,0,208,115,61,31,80,169,51,35
"California","Inyo",2000,366,184,123,32,4,2,21,11880,126,50,0,0,284,5,77
"California","Kern",2000,366,40,122,95,100,9,0,213,179,111,1,14,217,132,2
"California","Kings",2000,364,139,103,77,43,2,0,205,159,71,0,59,253,37,15
"California","Lake",2000,366,348,17,1,0,0,0,108,46,34,0,0,360,6,0
"California","Lassen",2000,33,26,7,0,0,0,0,63,54,28,0,0,0,0,33
