"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2009,252,200,50,2,0,0,0,136,58,38,0,0,188,64,0
"Alabama","Clay",2009,119,68,51,0,0,0,0,95,63,44,0,0,0,119,0
"Alabama","Colbert",2009,323,161,162,0,0,0,0,79,64,51,0,0,85,238,0
"Alabama","DeKalb",2009,363,294,69,0,0,0,0,100,58,38,0,0,283,80,0
"Alabama","Elmore",2009,244,228,16,0,0,0,0,80,49,36,0,0,244,0,0
"Alabama","Etowah",2009,359,149,210,0,0,0,0,87,67,53,0,0,49,310,0
"Alabama","Houston",2009,315,219,96,0,0,0,0,88,59,41,0,0,160,155,0
"Alabama","Jefferson",2009,365,66,293,6,0,0,0,150,79,60,4,0,37,295,29
"Alabama","Lawrence",2009,96,73,23,0,0,0,0,70,55,38,0,0,0,96,0
"Alabama","Madison",2009,349,252,96,1,0,0,0,122,62,41,0,0,226,93,30
"Alabama","Mobile",2009,358,282,72,4,0,0,0,133,61,37,0,0,183,100,75
"Alabama","Montgomery",2009,323,136,187,0,0,0,0,93,66,53,0,0,62,261,0
"Alabama","Morgan",2009,321,113,208,0,0,0,0,92,68,54,0,0,57,264,0
"Alabama","Russell",2009,345,138,206,1,0,0,0,112,70,54,0,0,55,290,0
"Alabama","Shelby",2009,283,200,80,3,0,0,0,119,65,41,0,0,180,103,0
"Alabama","Sumter",2009,239,237,2,0,0,0,0,61,44,31,0,0,239,0,0
"Alabama","Talladega",2009,97,43,54,0,0,0,0,82,69,52,0,0,0,97,0
"Alabama","Tuscaloosa",2009,306,172,133,1,0,0,0,120,65,46,0,0,99,207,0
"Alabama","Walker",2009,118,57,61,0,0,0,0,76,66,52,0,0,0,118,0
"Alaska","Aleutians East ",2009,120,118,2,0,0,0,0,59,26,13,0,0,0,120,0
"Alaska","Anchorage ",2009,362,254,107,1,0,0,0,105,65,37,7,0,0,295,60
"Alaska","Denali ",2009,359,350,8,1,0,0,0,117,44,34,0,0,347,12,0
"Alaska","Fairbanks North Star ",2009,362,189,126,28,13,5,1,410,113,46,6,0,0,356,0
"Alaska","Juneau ",2009,303,229,72,2,0,0,0,106,63,29,0,0,0,302,1
"Alaska","Kenai Peninsula ",2009,117,117,0,0,0,0,0,44,20,8,0,0,0,117,0
"Alaska","Matanuska-Susitna ",2009,126,103,22,1,0,0,0,103,61,19,0,0,0,120,6
"Alaska","Wrangell Petersburg",2009,65,64,1,0,0,0,0,54,18,7,0,0,0,65,0
"Alaska","Yukon-Koyukuk ",2009,99,91,5,2,1,0,0,177,41,8,0,0,0,99,0
"Arizona","Apache",2009,364,348,16,0,0,0,0,81,41,19,0,0,0,50,314
"Arizona","Cochise",2009,363,249,113,1,0,0,0,129,64,46,0,0,319,41,3
"Arizona","Coconino",2009,363,253,110,0,0,0,0,100,67,46,0,0,333,23,7
"Arizona","Gila",2009,307,169,132,6,0,0,0,136,84,48,0,0,187,15,105
"Arizona","La Paz",2009,213,130,81,2,0,0,0,112,71,49,0,0,213,0,0
"Arizona","Maricopa",2009,365,78,264,19,2,1,1,317,93,63,0,55,178,34,98
"Arizona","Mohave",2009,111,91,20,0,0,0,0,75,57,23,0,0,0,71,40
"Arizona","Navajo",2009,365,278,87,0,0,0,0,97,61,44,0,0,353,7,5
"Arizona","Pima",2009,365,204,159,1,1,0,0,158,71,49,0,14,269,28,54
"Arizona","Pinal",2009,365,41,259,49,9,1,6,1435,113,77,0,0,80,10,275
"Arizona","Santa Cruz",2009,346,191,153,1,1,0,0,195,76,47,0,0,0,34,312
"Arizona","Yavapai",2009,264,224,40,0,0,0,0,87,54,43,0,0,207,55,2
"Arizona","Yuma",2009,363,239,115,8,1,0,0,176,69,45,0,0,138,36,189
"Arkansas","Arkansas",2009,120,60,60,0,0,0,0,83,62,51,0,0,0,120,0
"Arkansas","Ashley",2009,116,57,59,0,0,0,0,77,62,51,0,0,0,116,0
"Arkansas","Clark",2009,345,334,11,0,0,0,0,87,44,32,0,0,345,0,0
"Arkansas","Crittenden",2009,365,278,83,4,0,0,0,133,61,39,0,37,238,90,0
"Arkansas","Faulkner",2009,120,59,61,0,0,0,0,85,64,52,0,0,0,120,0
"Arkansas","Garland",2009,121,57,64,0,0,0,0,77,64,51,0,0,0,121,0
"Arkansas","Jackson",2009,116,64,52,0,0,0,0,84,65,48,0,0,0,116,0
"Arkansas","Newton",2009,354,298,56,0,0,0,0,97,54,39,0,0,309,45,0
"Arkansas","Phillips",2009,116,56,60,0,0,0,0,79,62,51,0,0,0,116,0
"Arkansas","Polk",2009,363,265,95,3,0,0,0,108,64,41,0,0,291,72,0
"Arkansas","Pope",2009,119,48,71,0,0,0,0,90,67,53,0,0,0,119,0
"Arkansas","Pulaski",2009,365,132,229,4,0,0,0,150,72,54,0,0,69,296,0
"Arkansas","Sebastian",2009,113,45,68,0,0,0,0,84,65,53,0,0,0,113,0
"Arkansas","Union",2009,102,48,54,0,0,0,0,79,63,52,0,0,0,102,0
"Arkansas","Washington",2009,361,285,74,2,0,0,0,122,59,39,0,0,272,89,0
"Arkansas","White",2009,117,53,64,0,0,0,0,89,66,51,0,0,0,117,0
"California","Alameda",2009,365,121,231,12,1,0,0,151,81,56,0,11,72,282,0
