"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2003,278,166,100,11,1,0,0,174,77,45,0,0,178,100,0
"Alabama","Barbour",2003,15,7,8,0,0,0,0,85,71,51,0,0,0,15,0
"Alabama","Clay",2003,274,155,109,9,1,0,0,159,77,47,0,0,181,93,0
"Alabama","Colbert",2003,317,197,113,6,1,0,0,151,72,46,0,7,217,93,0
"Alabama","DeKalb",2003,361,208,140,11,2,0,0,164,80,47,0,0,267,94,0
"Alabama","Elmore",2003,240,181,54,5,0,0,0,143,74,42,0,0,240,0,0
"Alabama","Escambia",2003,121,40,81,0,0,0,0,92,72,55,0,0,0,120,1
"Alabama","Etowah",2003,284,144,130,10,0,0,0,143,80,50,0,0,186,97,1
"Alabama","Houston",2003,94,32,61,1,0,0,0,144,72,55,0,0,0,88,6
"Alabama","Jefferson",2003,365,12,308,43,2,0,0,177,105,72,0,0,40,266,59
"Alabama","Lawrence",2003,273,160,105,7,1,0,0,169,77,47,0,0,192,81,0
"Alabama","Limestone",2003,275,178,77,19,1,0,0,159,90,44,0,6,269,0,0
"Alabama","Madison",2003,365,208,143,14,0,0,0,143,84,46,0,0,265,90,10
"Alabama","Marengo",2003,36,36,0,0,0,0,0,36,30,19,0,0,0,0,36
"Alabama","Mobile",2003,362,214,130,16,2,0,0,182,80,44,39,0,179,99,45
"Alabama","Montgomery",2003,284,155,125,4,0,0,0,119,72,49,0,0,170,114,0
"Alabama","Morgan",2003,284,129,134,20,1,0,0,161,93,53,0,0,194,90,0
"Alabama","Pike",2003,48,47,1,0,0,0,0,76,33,19,0,0,0,0,48
"Alabama","Russell",2003,280,165,113,2,0,0,0,115,73,46,0,0,176,103,1
"Alabama","Shelby",2003,282,144,115,22,1,0,0,156,97,50,0,0,196,86,0
"Alabama","Sumter",2003,281,190,91,0,0,0,0,99,65,43,0,0,169,112,0
"Alabama","Talladega",2003,114,25,88,1,0,0,0,116,77,60,0,0,0,107,7
"Alabama","Tuscaloosa",2003,279,177,100,2,0,0,0,119,67,44,0,0,191,88,0
"Alabama","Walker",2003,104,24,78,2,0,0,0,106,74,58,0,0,0,104,0
"Alaska","Aleutians East ",2003,120,118,2,0,0,0,0,65,31,13,0,0,0,120,0
"Alaska","Anchorage ",2003,310,267,39,3,0,0,1,484,53,26,114,0,0,93,103
"Alaska","Denali ",2003,364,363,1,0,0,0,0,71,44,33,0,0,362,2,0
"Alaska","Fairbanks North Star ",2003,229,187,42,0,0,0,0,100,59,25,138,0,0,91,0
"Alaska","Juneau ",2003,82,69,13,0,0,0,0,88,58,26,0,0,0,81,1
"Alaska","Kenai Peninsula ",2003,113,113,0,0,0,0,0,39,21,7,0,0,0,113,0
"Alaska","Matanuska-Susitna ",2003,121,106,14,0,1,0,0,156,56,12,0,0,0,111,10
"Arizona","Apache",2003,352,349,3,0,0,0,0,65,35,19,0,0,0,46,306
"Arizona","Cochise",2003,351,190,154,7,0,0,0,126,80,49,0,0,330,13,8
"Arizona","Coconino",2003,359,203,147,9,0,0,0,126,84,49,0,0,343,16,0
"Arizona","Gila",2003,256,67,142,44,3,0,0,169,112,68,0,1,192,55,8
"Arizona","Graham",2003,60,57,3,0,0,0,0,61,38,19,0,0,0,0,60
