"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2008,265,189,71,5,0,0,0,133,71,39,0,0,192,73,0
"Alabama","Clay",2008,110,43,67,0,0,0,0,94,66,53,0,0,0,110,0
"Alabama","Colbert",2008,277,175,102,0,0,0,0,97,66,45,0,0,176,101,0
"Alabama","DeKalb",2008,365,236,124,5,0,0,0,122,74,44,0,0,287,78,0
"Alabama","Elmore",2008,245,180,64,1,0,0,0,105,74,42,0,0,245,0,0
"Alabama","Etowah",2008,340,117,222,1,0,0,0,105,74,55,0,0,61,279,0
"Alabama","Houston",2008,277,182,95,0,0,0,0,90,63,44,0,0,176,101,0
"Alabama","Jefferson",2008,366,19,318,25,4,0,0,174,97,70,20,0,50,260,36
"Alabama","Lawrence",2008,110,60,50,0,0,0,0,79,65,47,0,0,0,110,0
"Alabama","Madison",2008,366,116,241,9,0,0,0,147,77,56,0,0,121,245,0
"Alabama","Mobile",2008,357,253,99,5,0,0,0,150,67,38,0,0,164,97,96
"Alabama","Montgomery",2008,349,124,221,4,0,0,0,122,74,55,0,0,67,281,1
"Alabama","Morgan",2008,285,177,108,0,0,0,0,97,69,47,0,0,187,98,0
"Alabama","Russell",2008,342,88,249,5,0,0,0,121,77,58,0,0,48,294,0
"Alabama","Shelby",2008,284,156,119,7,2,0,0,166,77,48,0,0,189,95,0
"Alabama","Sumter",2008,242,227,15,0,0,0,0,84,49,31,0,0,242,0,0
"Alabama","Talladega",2008,107,32,75,0,0,0,0,93,69,56,0,0,0,107,0
"Alabama","Tuscaloosa",2008,267,184,82,1,0,0,0,101,64,43,0,0,175,92,0
"Alabama","Walker",2008,120,42,78,0,0,0,0,96,71,56,0,0,0,120,0
"Alaska","Aleutians East ",2008,109,108,1,0,0,0,0,52,26,11,0,0,0,109,0
"Alaska","Anchorage ",2008,306,276,30,0,0,0,0,86,50,22,120,0,0,87,99
"Alaska","Denali ",2008,360,353,5,2,0,0,0,119,44,31,0,0,358,2,0
"Alaska","Fairbanks North Star ",2008,363,235,99,22,7,0,0,197,92,30,22,0,0,341,0
"Alaska","Juneau ",2008,278,218,58,2,0,0,0,114,63,23,0,0,0,271,7
"Alaska","Kenai Peninsula ",2008,118,117,1,0,0,0,0,52,16,7,0,0,0,118,0
"Alaska","Matanuska-Susitna ",2008,125,102,22,1,0,0,0,140,62,20,0,0,0,110,15
"Alaska","Wrangell Petersburg",2008,108,108,0,0,0,0,0,24,12,5,0,0,0,108,0
"Alaska","Yukon-Koyukuk ",2008,17,17,0,0,0,0,0,18,15,7,0,0,0,17,0
"Arizona","Apache",2008,295,261,34,0,0,0,0,94,52,26,0,0,0,60,235
"Arizona","Cochise",2008,363,228,132,3,0,0,0,150,74,47,0,0,314,40,9
"Arizona","Coconino",2008,365,240,113,12,0,0,0,129,84,48,0,0,353,12,0
"Arizona","Gila",2008,266,129,108,29,0,0,0,147,101,51,0,0,211,31,24
"Arizona","La Paz",2008,178,105,66,7,0,0,0,143,93,48,0,0,178,0,0
"Arizona","Maricopa",2008,366,62,244,59,1,0,0,162,108,66,0,63,168,33,102
"Arizona","Mohave",2008,117,91,26,0,0,0,0,70,59,28,0,0,0,97,20
"Arizona","Navajo",2008,345,218,122,5,0,0,0,115,77,47,0,0,333,12,0
"Arizona","Pima",2008,366,193,156,17,0,0,0,133,90,50,0,30,274,31,31
"Arizona","Pinal",2008,366,57,120,105,60,18,6,506,186,105,0,0,75,16,275
"Arizona","Santa Cruz",2008,356,162,179,15,0,0,0,140,81,53,0,0,0,33,323
"Arizona","Yavapai",2008,161,117,41,3,0,0,0,101,77,33,0,0,54,106,1
"Arizona","Yuma",2008,360,209,127,23,0,1,0,245,87,46,0,0,151,33,176
"Arkansas","Arkansas",2008,116,40,76,0,0,0,0,88,69,53,0,0,0,116,0
"Arkansas","Ashley",2008,119,49,70,0,0,0,0,82,66,52,0,0,0,119,0
"Arkansas","Clark",2008,343,324,19,0,0,0,0,84,47,31,0,0,343,0,0
"Arkansas","Crittenden",2008,366,237,123,5,1,0,0,172,71,42,0,56,216,94,0
"Arkansas","Faulkner",2008,111,45,66,0,0,0,0,83,71,54,0,0,0,111,0
"Arkansas","Garland",2008,113,44,69,0,0,0,0,83,70,52,0,0,0,113,0
"Arkansas","Jackson",2008,122,49,72,1,0,0,0,101,69,53,0,0,0,122,0
"Arkansas","Newton",2008,364,284,80,0,0,0,0,84,64,39,0,0,313,51,0
"Arkansas","Phillips",2008,117,47,70,0,0,0,0,91,69,53,0,0,0,117,0
"Arkansas","Polk",2008,362,239,121,2,0,0,0,108,67,44,0,0,279,83,0
"Arkansas","Pope",2008,118,49,69,0,0,0,0,83,71,53,0,0,0,118,0
"Arkansas","Pulaski",2008,366,99,263,4,0,0,0,147,74,57,0,0,51,315,0
"Arkansas","Sebastian",2008,114,47,67,0,0,0,0,77,70,52,0,0,0,114,0
"Arkansas","Union",2008,105,42,63,0,0,0,0,80,68,53,0,0,0,105,0
"Arkansas","Washington",2008,366,278,88,0,0,0,0,87,58,38,0,0,267,99,0
"Arkansas","White",2008,106,51,55,0,0,0,0,86,69,51,0,0,0,106,0
"California","Alameda",2008,366,101,249,12,3,1,0,205,85,56,0,7,52,307,0
"California","Amador",2008,353,220,91,28,11,3,0,206,115,45,0,0,353,0,0
"California","Butte",2008,366,145,185,24,9,3,0,237,100,55,0,0,217,149,0
"California","Calaveras",2008,361,220,109,26,5,1,0,202,93,45,0,0,341,19,1
"California","Colusa",2008,366,168,180,11,6,1,0,245,84,52,0,0,162,200,4
"California","Contra Costa",2008,366,250,102,12,2,0,0,161,77,44,0,28,230,106,2
"California","Del Norte",2008,118,111,7,0,0,0,0,72,40,17,0,0,0,100,18
"California","El Dorado",2008,366,207,103,39,13,4,0,214,122,47,0,0,360,6,0
"California","Fresno",2008,366,25,207,92,35,7,0,228,154,85,0,1,169,195,1
"California","Glenn",2008,365,168,176,9,9,3,0,261,80,52,0,0,121,244,0
"California","Humboldt",2008,364,332,32,0,0,0,0,88,47,29,6,18,273,66,1
"California","Imperial",2008,366,160,173,28,5,0,0,169,97,54,2,77,229,45,13
"California","Inyo",2008,366,197,134,22,9,0,4,733,100,49,0,0,302,5,59
"California","Kern",2008,366,13,158,107,74,14,0,217,172,107,0,1,187,165,13
"California","Kings",2008,366,51,211,69,32,3,0,220,143,81,0,0,184,163,19
"California","Lake",2008,363,339,21,1,2,0,0,180,46,34,0,0,351,12,0
"California","Los Angeles",2008,366,12,233,67,46,8,0,227,172,84,0,49,149,166,2
"California","Madera",2008,346,215,85,40,5,1,0,202,108,45,0,35,311,0,0
"California","Marin",2008,366,339,27,0,0,0,0,97,47,31,3,105,205,53,0
"California","Mariposa",2008,366,92,213,45,15,1,0,206,119,59,0,0,229,137,0
"California","Mendocino",2008,365,340,22,3,0,0,0,134,44,31,12,32,283,28,10
"California","Merced",2008,364,171,134,44,12,3,0,216,119,54,0,32,279,48,5
"California","Mono",2008,296,241,40,3,3,1,8,2907,64,21,0,0,0,41,255
"California","Monterey",2008,366,328,38,0,0,0,0,97,51,37,0,11,324,27,4
"California","Napa",2008,366,94,263,9,0,0,0,122,75,55,0,1,39,326,0
"California","Nevada",2008,366,173,141,34,17,1,0,203,115,52,0,2,298,66,0
"California","Orange",2008,366,74,250,36,6,0,0,197,101,67,0,45,84,235,2
"California","Placer",2008,366,126,182,39,16,3,0,225,115,58,0,16,189,161,0
"California","Plumas",2008,141,60,71,4,4,2,0,218,93,55,0,0,0,141,0
"California","Riverside",2008,366,23,189,90,49,14,1,320,179,92,0,17,195,115,39
"California","Sacramento",2008,366,108,185,47,19,7,0,219,140,63,0,18,214,130,4
"California","San Benito",2008,364,235,103,22,4,0,0,172,93,46,0,0,352,12,0
"California","San Bernardino",2008,366,71,148,67,55,25,0,222,190,84,0,56,261,42,7
"California","San Diego",2008,366,32,260,63,10,1,0,204,117,74,0,31,172,157,6
"California","San Francisco",2008,366,156,208,2,0,0,0,110,72,53,1,30,38,297,0
"California","San Joaquin",2008,366,155,179,22,10,0,0,195,95,54,0,23,189,145,9
"California","San Luis Obispo",2008,366,166,128,62,10,0,0,179,122,54,0,2,343,15,6
"California","San Mateo",2008,366,187,178,1,0,0,0,102,72,49,0,17,75,274,0
"California","Santa Barbara",2008,366,223,131,11,1,0,0,151,77,47,0,6,326,34,0
"California","Santa Clara",2008,366,120,228,17,1,0,0,179,87,56,0,9,93,264,0
"California","Santa Cruz",2008,366,326,39,1,0,0,0,115,51,36,0,0,334,29,3
"California","Shasta",2008,366,244,92,23,6,1,0,275,93,45,0,0,339,27,0
"California","Siskiyou",2008,360,321,37,2,0,0,0,115,52,35,0,0,323,27,10
"California","Solano",2008,366,102,241,19,4,0,0,169,88,57,0,0,83,283,0
"California","Sonoma",2008,366,322,44,0,0,0,0,91,52,37,1,45,271,49,0
"California","Stanislaus",2008,366,73,211,63,15,4,0,226,130,67,0,1,162,202,1
"California","Sutter",2008,365,150,178,28,6,3,0,222,101,56,0,6,167,192,0
