"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Clay",1999,273,108,106,49,10,0,0,182,122,61,0,0,209,64,0
"Alabama","Colbert",1999,82,10,70,2,0,0,0,123,89,64,0,0,0,82,0
"Alabama","DeKalb",1999,332,127,126,60,19,0,0,195,133,61,0,0,267,65,0
"Alabama","Elmore",1999,241,157,71,12,1,0,0,151,87,45,0,0,241,0,0
"Alabama","Escambia",1999,58,57,1,0,0,0,0,52,35,20,0,0,0,0,58
"Alabama","Etowah",1999,59,56,3,0,0,0,0,56,46,27,0,0,0,0,59
"Alabama","Houston",1999,74,9,62,3,0,0,0,144,93,68,0,0,0,70,4
"Alabama","Jefferson",1999,365,7,250,69,33,6,0,273,152,83,40,0,63,243,19
"Alabama","Lawrence",1999,267,102,117,41,7,0,0,182,119,58,0,0,209,58,0
"Alabama","Madison",1999,364,180,136,33,15,0,0,182,105,51,7,0,268,77,12
"Alabama","Marengo",1999,54,52,2,0,0,0,0,51,41,26,0,0,0,0,54
"Alabama","Mobile",1999,268,84,139,39,6,0,0,179,122,62,0,0,165,103,0
"Alabama","Montgomery",1999,307,134,146,22,5,0,0,200,97,54,0,0,165,102,40
"Alabama","Morgan",1999,102,16,79,5,2,0,0,157,97,69,0,0,0,92,10
"Alabama","Pike",1999,57,57,0,0,0,0,0,42,31,19,0,0,0,0,57
"Alabama","Russell",1999,104,15,81,7,1,0,0,154,98,68,0,0,0,98,6
"Alabama","Shelby",1999,271,95,116,37,20,3,0,212,133,63,0,0,202,59,10
"Alabama","Sumter",1999,259,136,112,11,0,0,0,143,80,49,0,0,168,91,0
"Alabama","Talladega",1999,114,19,79,16,0,0,0,137,105,64,0,0,0,103,11
"Alabama","Tuscaloosa",1999,115,17,91,7,0,0,0,125,94,65,0,0,0,106,9
"Alabama","Walker",1999,103,27,69,7,0,0,0,116,86,65,0,0,0,88,15
"Alaska","Anchorage ",1999,313,241,69,2,1,0,0,161,61,34,120,0,0,91,102
"Alaska","Denali ",1999,362,359,3,0,0,0,0,69,44,31,0,0,358,4,0
"Alaska","Fairbanks North Star ",1999,238,182,52,4,0,0,0,130,67,32,176,0,0,53,9
"Alaska","Juneau ",1999,120,115,5,0,0,0,0,85,39,11,0,0,0,62,58
"Alaska","Ketchikan Gateway ",1999,12,12,0,0,0,0,0,41,28,16,0,0,0,12,0
"Alaska","Matanuska-Susitna ",1999,120,97,19,3,1,0,0,156,71,18,0,0,0,79,41
"Arizona","Cochise",1999,355,229,121,5,0,0,0,129,74,47,0,0,318,20,17
"Arizona","Coconino",1999,361,209,137,15,0,0,0,136,84,49,0,0,343,18,0
"Arizona","Gila",1999,279,128,128,23,0,0,0,147,100,52,0,0,201,68,10
"Arizona","Graham",1999,31,25,6,0,0,0,0,86,62,31,0,0,0,0,31
"Arizona","Maricopa",1999,365,5,168,170,22,0,0,185,140,101,3,122,218,10,12
"Arizona","Mohave",1999,60,57,3,0,0,0,0,93,43,28,0,0,0,0,60
"Arizona","Navajo",1999,134,132,2,0,0,0,0,62,32,19,0,0,0,97,37
"Arizona","Pima",1999,365,101,247,16,1,0,0,151,87,58,0,30,195,76,64
"Arizona","Pinal",1999,119,77,42,0,0,0,0,70,60,42,0,0,0,119,0
"Arizona","Santa Cruz",1999,59,19,37,3,0,0,0,135,79,55,0,0,0,46,13
"Arizona","Yavapai",1999,282,101,146,33,2,0,0,159,105,61,0,0,267,0,15
"Arizona","Yuma",1999,244,168,60,15,1,0,0,154,87,42,0,0,209,0,35
